name,geometry,state,cdl
Corn,"""-121.34772777557373,38.336472428721294,-121.35154724121094,38.33633778055649,-121.35159015655519,38.33270218552158,-121.3453245162964,38.3325675303505,-121.34781360626222,38.33475564587652""",California,1
Cotton,"""-102.32717514038087,34.34049499917458,-102.32987880706787,34.33819168010892,-102.32940673828126,34.33532130166815,-102.32683181762697,34.33418729793199,-102.3228406906128,34.335392176392645,-102.32279777526857,34.33836886074439,-102.32511520385744,34.340246952468405""",Texas,2
